year,IPC1,IPC2
1750,0.0,0.0
1751,0.0,0.0
1752,0.0,0.0
1753,0.0,0.0
1754,0.0,0.0
1755,0.0,0.0
1756,0.0,0.0
1757,0.0,0.0
1758,0.0,0.0
1759,0.0,0.0
1760,0.0,0.0
1761,0.0,0.0
1762,0.0,0.0
1763,0.0,0.0
1764,0.0,0.0
1765,0.0,0.0
1766,0.0,0.0
1767,0.0,0.0
1768,0.0,0.0
1769,0.0,0.0
1770,0.0,0.0
1771,0.0,0.0
1772,0.0,0.0
1773,0.0,0.0
1774,0.0,0.0
1775,0.0,0.0
1776,0.0,0.0
1777,0.0,0.0
1778,0.0,0.0
1779,0.0,0.0
1780,0.0,0.0
1781,0.0,0.0
1782,0.0,0.0
1783,0.0,0.0
1784,0.0,0.0
1785,0.0,0.0
1786,0.0,0.0
1787,0.0,0.0
1788,0.0,0.0
1789,0.0,0.0
1790,0.0,0.0
1791,0.0,0.0
1792,0.0,0.0
1793,0.0,0.0
1794,0.0,0.0
1795,0.0,0.0
1796,0.0,0.0
1797,0.0,0.0
1798,0.0,0.0
1799,0.0,0.0
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,0.0,0.0
1828,0.0,0.0
1829,0.0,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,0.0
1834,0.0,0.0
1835,0.0,0.0
1836,0.0,0.0
1837,0.0,0.0
1838,0.0,0.0
1839,0.0,0.0
1840,0.0,0.0
1841,0.0,0.0
1842,0.0,0.0
1843,0.0,0.0
1844,0.0,0.0
1845,0.0,0.0
1846,0.0,0.0
1847,0.0,0.0
1848,0.0,0.0
1849,0.0,0.0
1850,0.0,0.0
1851,0.0,0.0
1852,0.0,0.0
1853,0.0,0.0
1854,0.0,0.0
1855,0.0,0.0
1856,0.0,0.0
1857,0.0,0.0
1858,0.0,0.0
1859,0.0,0.0
1860,0.0,0.0
1861,0.0,0.0
1862,0.0,0.0
1863,0.0,0.0
1864,0.0,0.0
1865,0.0,0.0
1866,0.0,0.0
1867,0.0,0.0
1868,0.0,0.0
1869,0.0,0.0
1870,0.0,0.0
1871,0.0,0.0
1872,0.0,0.0
1873,0.0,0.0
1874,0.0,0.0
1875,0.0,0.0
1876,0.0,0.0
1877,0.0,0.0
1878,0.0,0.0
1879,0.0,0.0
1880,0.0,0.0
1881,0.0,0.0
1882,0.0,0.0
1883,0.0,0.0
1884,0.0,0.0
1885,0.0,0.0
1886,0.0,0.0
1887,0.0,0.0
1888,0.0,0.0
1889,0.0,0.0
1890,0.0,0.0
1891,0.0,0.0
1892,0.0,0.0
1893,0.0,0.0
1894,0.0,0.0
1895,0.0,0.0
1896,0.0,0.0
1897,0.0,0.0
1898,0.0,0.0
1899,0.0,0.0
1900,0.0,0.0
1901,0.0,0.0
1902,0.0,0.0
1903,0.0,0.0
1904,0.0,0.0
1905,0.0,0.0
1906,0.0,0.0
1907,0.0,0.0
1908,0.0,0.0
1909,0.0,0.0
1910,0.0,0.0
1911,0.0,0.0
1912,0.0,0.0
1913,0.0,0.0
1914,0.0,0.0
1915,0.0,0.0
1916,0.0,0.0
1917,0.0,0.0
1918,0.0,0.0
1919,0.0,0.0
1920,0.0,0.0
1921,0.0,0.0
1922,0.0,0.0
1923,0.0,0.0
1924,0.0,0.0
1925,0.0,0.0
1926,0.0,0.0
1927,0.0,0.0
1928,0.0,0.0
1929,0.0,0.0
1930,0.0,0.0
1931,0.0,0.0
1932,0.0,0.0
1933,0.225,0.00363
1934,0.482,0.0072699999999999996
1935,0.257,0.00363
1936,0.0,0.0028399999999999996
1937,0.0,0.00217
1938,0.0,0.0016
1939,0.0,0.00113
1940,0.0,0.000754
1941,0.0,0.00046300000000000003
1942,0.0,0.000249
1943,0.0,0.000106
1944,0.0,2.52e-05
1945,0.00733,0.0
1946,0.107,0.00182
1947,0.179,0.00363
1948,0.231,0.00363
1949,0.269,0.00363
1950,0.301,0.00512
1951,0.242,0.00562
1952,0.308,0.0024500000000000004
1953,0.257,0.0030499999999999998
1954,0.29,0.00346
1955,0.301,0.0040999999999999995
1956,0.319,0.004860000000000001
1957,0.315,0.005059999999999999
1958,0.374,0.006030000000000001
1959,0.374,0.00625
1960,0.4,0.00675
1961,0.359,0.00691
1962,0.389,0.015099999999999999
1963,0.44,0.0305
1964,0.458,0.0316
1965,0.539,0.0299
1966,0.554,0.037899999999999996
1967,0.814,0.0484
1968,0.88,0.054200000000000005
1969,0.814,0.056799999999999996
1970,0.935,0.056
1971,0.994,0.0562
1972,1.25,0.0531
1973,1.04,0.0577
1974,1.16,0.0492
1975,1.66,0.0484
1976,0.953,0.0546
1977,0.821,0.0437
1978,0.986,0.0514
1979,1.1,0.0554
1980,1.58,0.0482
1981,1.01,0.038200000000000005
1982,0.994,0.0386
1983,0.631,0.039
1984,0.851,0.039299999999999995
1985,1.04,0.039799999999999995
1986,1.12,0.0396
1987,1.27,0.046799999999999994
1988,1.27,0.047200000000000006
1989,0.898,0.0509
1990,0.92,0.0528
1991,1.0,0.0528
1992,0.979,0.0541
1993,1.01,0.0554
1994,1.14,0.0487
1995,1.18,0.0497
1996,1.23,0.052
1997,1.52,0.0497
1998,1.61,0.054
1999,1.75,0.0551
2000,1.93,0.0593
2001,1.72,0.0606
2002,1.22,0.052700000000000004
2003,1.61,0.122
2004,1.74,0.11
2005,1.71,0.1
2006,1.65,0.101
2007,1.67,0.149
2008,1.76,0.109
2009,1.7,0.101
2010,1.87,0.111
2011,2.36,0.127
2012,2.71,0.144
2013,3.18,0.155
2014,3.17,0.121
2015,3.24,0.122
2016,3.29,0.123
2017,4.13,0.145
2018,3.84,0.119
2019,4.31,0.117
2020,4.01,0.129
2021,4.36,0.131
2022,4.51,0.132
